title,address,price,availability,bedrooms,bathrooms,size_sqft,link
Clementi Park,95 Sunset Way,3600,Available from 15 Jun,2,2,1163,https://www.propertyguru.com.sg/listing/for-rent-clementi-park-25572077
Casablanca,21 Rosewood Drive,4400,Ready to Move,3,3,1184,https://www.propertyguru.com.sg/listing/for-rent-casablanca-25562588?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjoyNjI2MDk3LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMzkxODY0MiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTQ4NzE2NzYsImRpIjoiOGVkYzc0OWYwNGJiNGU1MTgzZmE1MjJkZTIxOGE4OTMiLCJkaiI6MCwiaWkiOiJiYmIxOGYxYTgyY2M0ZWZhOWRlZjQ2MWMxMjA0YzA5OSIsImRtIjozLCJmYyI6ODg5MTU2NTAxLCJmbCI6ODM2NzQxMTI2LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTBmMTFkODMxMTMxMWQ5NjdmIiwic3AiOjI2MzksInN0IjoxMTk4NzE4LCJ1ayI6ImY4NWQwYTk1LTE4ZWUtNGEyNS1hNjk4LTVjNDBiZmUzNGFiNyIsInRzIjoxNzQ4ODIyMzAxMzUwLCJiZiI6dHJ1ZSwicG4iOiIxIiwiZ2MiOnRydWUsImdDIjp0cnVlLCJncyI6Im5vbmUiLCJ0eiI6IlVUQyIsImV0IjoyMDV9%26s%3D4cdDQ7gJyb7XKOr17jIyYo92P1Y
Clementi Park,010101 Sunset Drive,4000,Ready to Move,2,2,1076,https://www.propertyguru.com.sg/listing/for-rent-clementi-park-25621438
Clementi Park,137 Sunset Way,3888,Ready to Move,2,2,1076,https://www.propertyguru.com.sg/listing/for-rent-clementi-park-25630321
Clementi Park,44 Sunset Way,4000,Ready to Move,2,2,1076,https://www.propertyguru.com.sg/listing/for-rent-clementi-park-24302841
379 Clementi Avenue 5,379 Clementi Avenue 5,3300,Available from 20 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-379-clementi-avenue-5-25634634
90 Dawson Road,90 Dawson Road,5200,Ready to Move,3,2,893,https://www.propertyguru.com.sg/listing/hdb-for-rent-90-dawson-road-25636379?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjozMDE5NTgwLCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMzU3MjQ2NSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTQyNDA4MTksImRpIjoiNTMxNmJiODk1MjliNGU5ZmE1YWQ3MTNlZDVlOTc3MjgiLCJkaiI6MCwiaWkiOiI2NzFkNzk5NjM3NDA0ZDZkOGNmNjA3Y2RhODcwNGYzYSIsImRtIjozLCJmYyI6ODg4NTI1MDM4LCJmbCI6ODM2MzkwOTI3LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTBmMTFkODMxMTMxMWQ5NjdmIiwic3AiOjI2MzksInN0IjoxMTk4NzE4LCJ1ayI6ImY4NWQwYTk1LTE4ZWUtNGEyNS1hNjk4LTVjNDBiZmUzNGFiNyIsInRzIjoxNzQ4ODIyMzAxMzUwLCJiZiI6dHJ1ZSwicG4iOiIyLTMtNC01IiwiZ2MiOnRydWUsImdDIjp0cnVlLCJncyI6Im5vbmUiLCJ0eiI6IlVUQyIsImV0IjoyMDV9%26s%3DFQbjnN6H2pY9NXpL6BW7DuFty-M
341 Clementi Avenue 5,341 Clementi Avenue 5,3600,Ready to Move,2,2,700,https://www.propertyguru.com.sg/listing/hdb-for-rent-341-clementi-avenue-5-25629503
317 Clementi Avenue 4,317 Clementi Avenue 4,4500,Ready to Move,3,2,979,https://www.propertyguru.com.sg/listing/hdb-for-rent-317-clementi-avenue-4-23778670
304 Clementi Avenue 4,304 Clementi Avenue 4,3500,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-304-clementi-avenue-4-25017460
